Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,16,1,0,0.25,0.0625
3,32,2,0,0.5,0.0625
8,32,2,0,0.25,0.0625
9,16,1,0,0.125,0.0625
11,32,3,0,0.25,0.09375
17,16,2,0,0.5,0.125
19,16,4,0,0.5,0.25
23,32,3,0,0.25,0.09375
24,32,2,0,0.25,0.0625
30,32,8,0,0.5,0.25
33,32,3,0,0.5,0.09375
2,32,2,0,0.25,0.0625
3,16,1,0,0.125,0.0625
5,16,2,0,0.25,0.125
6,32,2,0,0.5,0.0625
9,32,8,0,0.5,0.25
10,32,2,0,0.25,0.0625
27,16,2,0,0.5,0.125
29,32,2,0,0.5,0.0625
30,16,4,0,0.5,0.25
33,16,2,0,0.5,0.125
34,32,2,0,0.09375,0.0625
36,32,2,0,0.09375,0.0625
